Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,1,2022-10-06T17:31:02+00:00,12.703597068787,26,"updated stim.csv",Version26.csv,"Version 26","List 26",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12103,,,-1,-1,,,,,1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,2,2022-10-06T17:31:15+00:00,12.549954891205,26,"updated stim.csv",Version26.csv,"Version 26","List 26",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11884,,,-1,-1,,,,,1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,3,2022-10-06T17:31:22+00:00,6.7753159999847,26,"updated stim.csv",Version26.csv,"Version 26","List 26",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,6482,,,-1,-1,,,,,1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,4,2022-10-06T17:31:38+00:00,16.272639989853,26,"updated stim.csv",Version26.csv,"Version 26","List 26",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15885,,,7559,14569,,,,"height ",0.938
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,5,2022-10-06T17:32:05+00:00,27.369212150574,26,"updated stim.csv",Version26.csv,"Version 26","List 26",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,26868,,,5501,25595,,,,"sauce, spoon, cheese, eat, food, energy, happiness",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,6,2022-10-06T17:32:28+00:00,23.063087940216,26,"updated stim.csv",Version26.csv,"Version 26","List 26",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,22775,,,2452,21576,,,,"file, boss, school, grades, pass, graduate, fired",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,7,2022-10-06T17:32:45+00:00,16.265506029129,26,"updated stim.csv",Version26.csv,"Version 26","List 26",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15803,,,1680,14917,,,,"wheat, bread, food, agriculture, jobs, farming, provide, starvation",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,8,2022-10-06T17:33:10+00:00,25.232316017151,26,"updated stim.csv",Version26.csv,"Version 26","List 26",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24874,,,9779,24105,,,,"food, eat, healthy, bacteria, germs",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,9,2022-10-06T17:33:12+00:00,2.4430480003357,26,"updated stim.csv",Version26.csv,"Version 26","List 26",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1833,,,-1,-1,,,,,1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,10,2022-10-06T17:33:38+00:00,25.378217935562,26,"updated stim.csv",Version26.csv,"Version 26","List 26",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,24915,,,-1,-1,,,,,1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,11,2022-10-06T17:34:30+00:00,51.825818061829,26,"updated stim.csv",Version26.csv,"Version 26","List 26",rucksack,,755,5.041666667,2203,756,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,51037,,,23047,49738,,,,"storage, safe, lock, falling, shelter, provide, organization",0.918
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,12,2022-10-06T17:35:04+00:00,34.077144861221,26,"updated stim.csv",Version26.csv,"Version 26","List 26",insect,,777,5.125,1357,778,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,33527,,,4369,31586,,,,"bacteria, diseases, medicine, ebola, health",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,13,2022-10-06T17:35:31+00:00,27.793613195419,26,"updated stim.csv",Version26.csv,"Version 26","List 26",citrus,,762,4.6,544,763,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,27272,,,10749,23737,,,,"food, health, energy, vitamins",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,14,2022-10-06T17:35:57+00:00,25.163662910461,26,"updated stim.csv",Version26.csv,"Version 26","List 26",weapon,,763,5.52173913,2914,764,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,24670,,,1706,23823,,,,"murder, blood, jail, persecution, charges, court, crime, record",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,15,2022-10-06T17:36:12+00:00,15.18744802475,26,"updated stim.csv",Version26.csv,"Version 26","List 26",poster,,764,5.583333333,2043,765,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14547,,,1802,13708,,,,"hang, decoration, enjoyment, happiness, colors, brightness",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,16,2022-10-06T17:36:41+00:00,28.828655004501,26,"updated stim.csv",Version26.csv,"Version 26","List 26",magazine,,752,6.166666667,1569,753,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,28371,,,1546,26028,,,,"read, learn, educate, inform, share",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,17,2022-10-06T17:37:00+00:00,19.197628974915,26,"updated stim.csv",Version26.csv,"Version 26","List 26",mat,,772,5.814814815,1619,773,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18880,,,2089,17264,,,,"feet, cleanliness, mud, smooth",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,18,2022-10-06T17:37:34+00:00,34.454572916031,26,"updated stim.csv",Version26.csv,"Version 26","List 26",prisoner,,753,4.307692308,2067,754,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,33948,,,1895,32988,,,,"jail, crime, court, theft, murde",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,19,2022-10-06T17:37:44+00:00,9.3236360549927,26,"updated stim.csv",Version26.csv,"Version 26","List 26",wallet,,768,6.136363636,2888,769,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8653,,,1873,6778,,,,"store, money, bank, ID, wallet",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,20,2022-10-06T17:38:06+00:00,22.032407999039,26,"updated stim.csv",Version26.csv,"Version 26","List 26",hatchet,,779,5.791666667,1261,780,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21490,,,3022,20726,,,,"tool, build, undo",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,21,2022-10-06T17:38:27+00:00,21.497117996216,26,"updated stim.csv",Version26.csv,"Version 26","List 26",pincushion,,757,5.260869565,1969,758,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21140,,,12490,18534,,,,"store, needles, sewing, craft",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,22,2022-10-06T17:38:55+00:00,27.728615045547,26,"updated stim.csv",Version26.csv,"Version 26","List 26",tracksuit,,766,5.653846154,2752,767,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,27248,,,11315,26464,,,,"clothes, warmth, winter, temperature",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,23,2022-10-06T17:39:21+00:00,25.755375862122,26,"updated stim.csv",Version26.csv,"Version 26","List 26",pal,,765,4.333333333,1852,766,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,25343,,,2833,24531,,,,"friend, confide, trust, happy, rely on, someone to talk to",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,24,2022-10-06T17:39:42+00:00,21.611886024475,26,"updated stim.csv",Version26.csv,"Version 26","List 26",paratrooper,,767,4.291666667,1872,768,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21315,,,10323,19884,,,,"military, jump out of planes, help country",0.935
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,25,2022-10-06T17:40:02+00:00,19.320765972137,26,"updated stim.csv",Version26.csv,"Version 26","List 26",merchantman,,773,4.5,1649,774,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18969,,,2180,17900,,,,"sell, make money, provide for family, offer goods",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,26,2022-10-06T17:40:20+00:00,18.80300617218,26,"updated stim.csv",Version26.csv,"Version 26","List 26",steelworker,,778,4.44,2518,779,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18331,,,3652,17107,,,,"worker, builds, makes money ",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,27,2022-10-06T17:40:32+00:00,11.89993596077,26,"updated stim.csv",Version26.csv,"Version 26","List 26",thumbscrew,,760,5.173913043,2689,761,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11196,,,3145,8285,,,,build,1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,28,2022-10-06T17:40:50+00:00,17.280196905136,26,"updated stim.csv",Version26.csv,"Version 26","List 26",snot,,761,5.32,2429,762,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,16823,,,15052,15330,,,,sick,1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,29,2022-10-06T17:41:06+00:00,16.270010948181,26,"updated stim.csv",Version26.csv,"Version 26","List 26",powder,,758,5.416666667,2054,759,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,15839,,,4518,14384,,,,"protein powder, face powder, gunpowder",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,30,2022-10-06T17:41:29+00:00,23.117618083954,26,"updated stim.csv",Version26.csv,"Version 26","List 26",head,,780,5.48,1263,781,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,22632,,,2547,21525,,,,"put hats on, contains brain, part of our body, thoughts and feelings",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,31,2022-10-06T17:42:18+00:00,49.326241016388,26,"updated stim.csv",Version26.csv,"Version 26","List 26",roast,,759,4.821428571,2179,760,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,48265,,,26177,47431,,,,"roast pig, roast insult, roast food, being healthy, drawing out bacteria",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,32,2022-10-06T17:42:36+00:00,17.784915924072,26,"updated stim.csv",Version26.csv,"Version 26","List 26",crepe,,756,5.416666667,692,757,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,16984,,,2737,16260,,,,"Italy, yummy food, explore other cultures, breakfast snack, light food",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,33,2022-10-06T17:43:03+00:00,26.914929151535,26,"updated stim.csv",Version26.csv,"Version 26","List 26",lamb,,769,4.444444444,1453,770,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,26503,,,15470,25771,,,,"animal, shepherd’s herd, wool",1
MS8663,xljz3urxb6,"Affordance Norms_ILSTU",1,34,2022-10-06T17:43:16+00:00,13.049242019653,26,"updated stim.csv",Version26.csv,"Version 26","List 26",mistletoe,,774,4.592592593,1668,775,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,12642,,,4846,11518,,,,"kiss under, christmas decor, iconic",1
