Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,1,2023-04-19T13:46:34+00:00,10.797524929047,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10612,,,-1,-1,,,,,1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,2,2023-04-19T13:46:45+00:00,10.839791059494,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10616,,,-1,-1,,,,,1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,3,2023-04-19T13:52:35+00:00,349.95585393906,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,349616,,,-1,-1,,,,,1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,4,2023-04-19T14:00:58+00:00,503.60532188416,9,"updated stim.csv",Version9.csv,"Version 9","List 9",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,503182,,,6041,449651,,,,"eat, sand, rub, weigh, sift, brush, feel, measure, hold, observe, polish, split, engrave, encase, glue, roll, blow, count, taste",1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,5,2023-04-19T14:06:04+00:00,305.47913408279,9,"updated stim.csv",Version9.csv,"Version 9","List 9",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,305124,,,6943,237159,,,,"clean, throw, lift, place, stack, empty, break, dry, paint, fill, juggle, balance, lick, bite",1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,6,2023-04-19T14:13:32+00:00,448.05914592743,9,"updated stim.csv",Version9.csv,"Version 9","List 9",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,447713,,,3933,347381,,,,"eat, cook, hang, boil, bake, fry, drain, squish, reak, glue, measure, weigh, roll, dry, scoop, paint, stir",1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,7,2023-04-19T14:19:57+00:00,385.57258796692,9,"updated stim.csv",Version9.csv,"Version 9","List 9",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,385131,,,7277,376022,,,,"stack, complete, fill out, rip, cut, crumple, recycle, shred, turn in, paste, staple, clip, scan, copy, print, file, organize, burn, sort, fold, bind, bury, post, mail",1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,8,2023-04-19T14:23:29+00:00,211.26105308533,9,"updated stim.csv",Version9.csv,"Version 9","List 9",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,210920,,,6839,203534,,,,"melt, stir, rub, cut, measure, freeze, refrigerate, microwave, fry, eat, pour, flatten",1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,9,2023-04-19T14:23:31+00:00,2.2415249347687,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2004,,,-1,-1,,,,,1
J00095559_amp,053qfuv3eg,"Affordance Norms_South Alabama",1,10,2023-04-19T14:23:34+00:00,3.2219371795654,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3006,,,-1,-1,,,,,1
