Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,1,2023-03-28T05:27:24+00:00,37.65015411377,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,37506,,,-1,-1,,,,,1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,2,2023-03-28T05:27:34+00:00,10.935090065002,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10844,,,-1,-1,,,,,1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,3,2023-03-28T05:27:41+00:00,6.3606967926025,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,6256,,,-1,-1,,,,,1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,4,2023-03-28T05:28:26+00:00,44.766921043396,9,"updated stim.csv",Version9.csv,"Version 9","List 9",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,44644,,,9769,41013,,,,"height, string, candle wick",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,5,2023-03-28T05:29:10+00:00,44.613316059113,9,"updated stim.csv",Version9.csv,"Version 9","List 9",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,44362,,,3795,38835,,,,"office, business, information, research",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,6,2023-03-28T05:29:29+00:00,19.234242916107,9,"updated stim.csv",Version9.csv,"Version 9","List 9",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,19065,,,1798,17484,,,,"food, meal, cooking",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,7,2023-03-28T05:30:05+00:00,36.008506059647,9,"updated stim.csv",Version9.csv,"Version 9","List 9",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,35875,,,14744,33400,,,,"food, sauces, drinks",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,8,2023-03-28T05:30:26+00:00,20.168466091156,9,"updated stim.csv",Version9.csv,"Version 9","List 9",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20012,,,2665,18430,,,,"wheat, food, ingredient, diet",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,9,2023-03-28T05:30:29+00:00,2.9849078655243,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2874,,,-1,-1,,,,,1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,10,2023-03-28T05:30:46+00:00,17.709901094437,9,"updated stim.csv",Version9.csv,"Version 9","List 9",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,17589,,,-1,-1,,,,,1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,11,2023-03-28T05:30:57+00:00,10.882980108261,9,"updated stim.csv",Version9.csv,"Version 9","List 9",asparagus,,251,5.56,85,252,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10806,,,2189,8991,,,,"food, diet, cooking",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,12,2023-03-28T05:31:32+00:00,34.380859851837,9,"updated stim.csv",Version9.csv,"Version 9","List 9",saleslady,,264,4.28,2221,265,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,34273,,,5010,23770,,,,"persuade, represent",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,13,2023-03-28T05:31:47+00:00,15.444406032562,9,"updated stim.csv",Version9.csv,"Version 9","List 9",hardware,,267,5.52,1249,268,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,15366,,,2776,11739,,,,"fixing, construction",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,14,2023-03-28T05:32:15+00:00,27.627075910568,9,"updated stim.csv",Version9.csv,"Version 9","List 9",suit,,249,6.52173913,2582,250,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,27387,,,3652,16402,,,,clothes,1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,15,2023-03-28T05:32:23+00:00,8.068216085434,9,"updated stim.csv",Version9.csv,"Version 9","List 9",strainer,,253,4.875,2557,254,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7993,,,1835,4451,,,,"cooking, tool",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,16,2023-03-28T05:32:31+00:00,8.0640060901642,9,"updated stim.csv",Version9.csv,"Version 9","List 9",clay,,263,5.52,551,264,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7994,,,1854,5754,,,,"mold, create, art",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,17,2023-03-28T05:32:46+00:00,15.296796798706,9,"updated stim.csv",Version9.csv,"Version 9","List 9",platter,,268,5.75,1998,269,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,15223,,,1820,13421,,,,"serve, holder",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,18,2023-03-28T05:33:15+00:00,28.633376121521,9,"updated stim.csv",Version9.csv,"Version 9","List 9",elbow,,258,6.458333333,896,259,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,28528,,,5128,25485,,,,"fight, exercise, move",1
J00706535_amc,j7l6fx3jy2,"Affordance Norms_South Alabama",1,19,2023-03-28T05:33:33+00:00,18.167121887207,9,"updated stim.csv",Version9.csv,"Version 9","List 9",duck,,246,5.041666667,859,247,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18071,,,2464,3006,,,,pet,1
