Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,1,2022-11-28T15:00:08+00:00,11.432988882065,53,"updated stim.csv",Version53.csv,"Version 53","List 53",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11276,,,-1,-1,,,,,1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,2,2022-11-28T15:00:19+00:00,10.886031150818,53,"updated stim.csv",Version53.csv,"Version 53","List 53",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10708,,,-1,-1,,,,,1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,3,2022-11-28T15:00:27+00:00,8.4690229892731,53,"updated stim.csv",Version53.csv,"Version 53","List 53",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,8293,,,-1,-1,,,,,1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,4,2022-11-28T15:00:35+00:00,7.8916239738464,53,"updated stim.csv",Version53.csv,"Version 53","List 53",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7726,,,6683,7357,,,,baking,1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,5,2022-11-28T15:01:09+00:00,33.463488101959,53,"updated stim.csv",Version53.csv,"Version 53","List 53",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,33290,,,2387,30179,,,,"tea, covering, ",1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,6,2022-11-28T15:01:22+00:00,13.090664863586,53,"updated stim.csv",Version53.csv,"Version 53","List 53",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12915,,,11964,12609,,,,bread,1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,7,2022-11-28T15:01:28+00:00,6.0214760303497,53,"updated stim.csv",Version53.csv,"Version 53","List 53",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5860,,,1787,3474,,,,eating,1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,8,2022-11-28T15:01:41+00:00,12.677927017212,53,"updated stim.csv",Version53.csv,"Version 53","List 53",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12508,,,2235,12372,,,,"writing, printing, shredding",1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,9,2022-11-28T15:01:42+00:00,1.0421280860901,53,"updated stim.csv",Version53.csv,"Version 53","List 53",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",927,,,-1,-1,,,,,1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,10,2022-11-28T15:01:43+00:00,1.343808889389,53,"updated stim.csv",Version53.csv,"Version 53","List 53",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1162,,,-1,-1,,,,,1
J00709083_tsb,b707txv3ya,"Affordance Norms_South Alabama",1,11,2022-11-28T15:01:56+00:00,13.299304962158,53,"updated stim.csv",Version53.csv,"Version 53","List 53",speakers,,1565,4.92,2464,1566,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,13128,,,2768,12081,,,,listening,1
