Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,1,2022-11-29T03:44:17+00:00,11.509109973907,69,"updated stim.csv",Version69.csv,"Version 69","List 69",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11434,,,-1,-1,,,,,1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,2,2022-11-29T03:44:29+00:00,11.188421964645,69,"updated stim.csv",Version69.csv,"Version 69","List 69",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11091,,,-1,-1,,,,,1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,3,2022-11-29T03:44:31+00:00,2.2904350757599,69,"updated stim.csv",Version69.csv,"Version 69","List 69",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2187,,,-1,-1,,,,,1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,4,2022-11-29T03:44:56+00:00,24.842308044434,69,"updated stim.csv",Version69.csv,"Version 69","List 69",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24658,,,3037,23433,,,,"eat, cook, texture",1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,5,2022-11-29T03:45:17+00:00,21.055140972137,69,"updated stim.csv",Version69.csv,"Version 69","List 69",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20868,,,2824,20170,,,,"school, job, organize",1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,6,2022-11-29T03:45:29+00:00,12.545699119568,69,"updated stim.csv",Version69.csv,"Version 69","List 69",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12437,,,1385,11443,,,,"eat, cook, give away",1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,7,2022-11-29T03:45:40+00:00,10.585582971573,69,"updated stim.csv",Version69.csv,"Version 69","List 69",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10484,,,1915,9588,,,,"cook, hold things, warm things",1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,8,2022-11-29T03:45:51+00:00,11.592190027237,69,"updated stim.csv",Version69.csv,"Version 69","List 69",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11453,,,2377,5567,,,,"food, bake, cook",1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,9,2022-11-29T03:45:54+00:00,2.2139728069305,69,"updated stim.csv",Version69.csv,"Version 69","List 69",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2111,,,-1,-1,,,,,1
J00709884amw,pp2tesd79o,"Affordance Norms_South Alabama",1,10,2022-11-29T03:45:56+00:00,2.365471124649,69,"updated stim.csv",Version69.csv,"Version 69","List 69",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2260,,,-1,-1,,,,,1
