Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,1,2022-12-01T03:35:48+00:00,11.255254030228,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11159,,,-1,-1,,,,,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,2,2022-12-01T03:36:00+00:00,11.986124992371,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11827,,,-1,-1,,,,,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,3,2022-12-01T03:36:05+00:00,5.0690629482269,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4732,,,-1,-1,,,,,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,4,2022-12-01T03:36:31+00:00,26.081964015961,7,"updated stim.csv",Version7.csv,"Version 7","List 7",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,25787,,,8223,23607,,,,"sentences, time",1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,5,2022-12-01T03:36:39+00:00,8.5891871452332,7,"updated stim.csv",Version7.csv,"Version 7","List 7",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8387,,,1870,3627,,,,food,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,6,2022-12-01T03:36:56+00:00,16.161906003952,7,"updated stim.csv",Version7.csv,"Version 7","List 7",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15981,,,1945,13316,,,,"food, scent",1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,7,2022-12-01T03:37:56+00:00,59.972362995148,7,"updated stim.csv",Version7.csv,"Version 7","List 7",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,59688,,,55127,57816,,,,food,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,8,2022-12-01T03:38:11+00:00,15.890406847,7,"updated stim.csv",Version7.csv,"Version 7","List 7",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,15725,,,1572,14638,,,,"filed, given, filled out",1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,9,2022-12-01T03:38:13+00:00,1.6114130020142,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1435,,,-1,-1,,,,,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,10,2022-12-01T03:38:15+00:00,2.0061900615692,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1613,,,-1,-1,,,,,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,11,2022-12-01T03:38:32+00:00,17.064081907272,7,"updated stim.csv",Version7.csv,"Version 7","List 7",daddy,,183,5.24,745,184,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,16776,,,7635,14982,,,,"advice, love, trust",1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,12,2022-12-01T03:38:41+00:00,9.0192151069641,7,"updated stim.csv",Version7.csv,"Version 7","List 7",grapevine,,186,4.869565217,1158,187,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8847,,,-1,-1,,,,,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,13,2022-12-01T03:38:51+00:00,9.5171430110931,7,"updated stim.csv",Version7.csv,"Version 7","List 7",cheese,,187,6.391304348,506,188,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9339,,,1478,3209,,,,food,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,14,2022-12-01T03:38:53+00:00,2.548455953598,7,"updated stim.csv",Version7.csv,"Version 7","List 7",pine,,200,4.347826087,1970,201,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,2204,,,-1,-1,,,,,1
J00710626AB,rvc5qht2l7,"Affordance Norms_South Alabama",1,15,2022-12-01T03:39:01+00:00,7.6886010169983,7,"updated stim.csv",Version7.csv,"Version 7","List 7",goldfish,,197,4.739130435,1133,198,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,7491,,,1584,5089,,,,"food, animal",1
