Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,1,2022-11-17T23:54:54+00:00,11.199213027954,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10886,,,-1,-1,,,,,1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,2,2022-11-17T23:55:04+00:00,10.284703016281,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10085,,,-1,-1,,,,,1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,3,2022-11-17T23:55:12+00:00,8.4406809806824,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,8209,,,-1,-1,,,,,1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,4,2022-11-17T23:56:04+00:00,51.652565002441,7,"updated stim.csv",Version7.csv,"Version 7","List 7",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,51457,,,32019,50666,,,,"serving sauces, put coffee in a mug on it ",1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,5,2022-11-17T23:56:25+00:00,20.528151035309,7,"updated stim.csv",Version7.csv,"Version 7","List 7",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20336,,,3702,19482,,,,"used for interviews, used for school, applications, medical records ",1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,6,2022-11-17T23:56:30+00:00,5.2976250648499,7,"updated stim.csv",Version7.csv,"Version 7","List 7",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5041,,,2224,3495,,,,cooking,1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,7,2022-11-17T23:56:35+00:00,4.8821530342102,7,"updated stim.csv",Version7.csv,"Version 7","List 7",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4684,,,1394,3923,,,,"eating, cooking",1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,8,2022-11-17T23:56:41+00:00,6.4221818447113,7,"updated stim.csv",Version7.csv,"Version 7","List 7",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6226,,,2009,5129,,,,"make bread, eat",1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,9,2022-11-17T23:56:45+00:00,3.8924980163574,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",3787,,,-1,-1,,,,,1
J00721766_LRC,0h3l9qyl50,"Affordance Norms_South Alabama",1,10,2022-11-17T23:56:49+00:00,3.5848450660706,7,"updated stim.csv",Version7.csv,"Version 7","List 7",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,3449,,,-1,-1,,,,,1
