"Username","ID","ExperimentName","Session","Trial","Date","TimeDif","Condition.Number","Stimuli.File","Order.File","Condition.Description","Condition.Notes","Stimuli.Cue","Stimuli.Answer","Stimuli.Shuffle","Stimuli.Stimuli.Notes","Stimuli.Value","Procedure.Item","Procedure.Trial.Type","Procedure.Max.Time","Procedure.Min.Time","Procedure.Text","Procedure.Procedure.Notes","Procedure.Shuffle","Response.RT","Response.Response","Response.Accuracy","Response.RTfirst","Response.RTlast","Response.strictAcc","Response.lenientAcc","Response.focus","Response.JOL","Response.Focus"
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,11,"2023-03-29T17:50:27+00:00",20.455166101456,16,"updated stim.csv","Version16.csv","Version 16","List 16","thigh",NA,454,5.76,2680,455,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",20322,NA,NA,5228,16029,NA,NA,NA,"work out, eat, use to walk, clean",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,12,"2023-03-29T17:51:10+00:00",43.535717010498,16,"updated stim.csv","Version16.csv","Version 16","List 16","lip",NA,463,5.52173913,1521,464,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",43422,NA,NA,2663,25057,NA,NA,NA,"put chapstick, use to talk, paint with makeup, kiss, ",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,13,"2023-03-29T17:52:06+00:00",55.465495824814,16,"updated stim.csv","Version16.csv","Version 16","List 16","cocaine",NA,468,5.913043478,585,469,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",55345,NA,NA,5774,54278,NA,NA,NA,"ingest, snort, roll, smoke, use as a pain reliever, can be used to numb ",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,14,"2023-03-29T17:52:26+00:00",20.268775224686,16,"updated stim.csv","Version16.csv","Version 16","List 16","bayonet",NA,471,4.916666667,174,472,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",20148,NA,NA,18145,19757,NA,NA,NA,"for shade",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,15,"2023-03-29T17:53:07+00:00",40.846394777298,16,"updated stim.csv","Version16.csv","Version 16","List 16","pole",NA,475,5.32,2020,476,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",40724,NA,NA,3484,32229,NA,NA,NA,"climb, slide down, hit, throw, balance on top, ",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,16,"2023-03-29T17:53:36+00:00",28.787608146667,16,"updated stim.csv","Version16.csv","Version 16","List 16","cellar",NA,476,4.6,472,477,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",28672,NA,NA,1755,26937,NA,NA,NA,"store, hide in, get drinks from, use for safety",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,17,"2023-03-29T17:53:39+00:00",2.9556479454041,16,"updated stim.csv","Version16.csv","Version 16","List 16","genital",NA,464,5.826086957,1095,465,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",2873,NA,NA,-1,-1,NA,NA,NA,"",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,18,"2023-03-29T17:54:24+00:00",45.316791057587,16,"updated stim.csv","Version16.csv","Version 16","List 16","checklist",NA,457,4.464285714,501,458,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",45173,NA,NA,7045,44911,NA,NA,NA,"check off, write, take to stores, cross off, keep track of groceries, make a todo list,",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,19,"2023-03-29T17:54:38+00:00",14.159545898438,16,"updated stim.csv","Version16.csv","Version 16","List 16","jean",NA,477,5.956521739,1378,478,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",14027,NA,NA,2348,8829,NA,NA,NA,"wear, craft, ",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,20,"2023-03-29T17:55:00+00:00",21.458539009094,16,"updated stim.csv","Version16.csv","Version 16","List 16","satin",NA,455,5.125,2246,456,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",21322,NA,NA,2084,19943,NA,NA,NA,"wear, pillowcases, make sheets, make beds, ",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,21,"2023-03-29T17:55:12+00:00",12.750643968582,16,"updated stim.csv","Version16.csv","Version 16","List 16","mortician",NA,451,4.833333333,1686,452,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",12650,NA,NA,11275,12341,NA,NA,NA,"funerals",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,22,"2023-03-29T17:55:26+00:00",13.447890043259,16,"updated stim.csv","Version16.csv","Version 16","List 16","paintbox",NA,478,4.44,1848,479,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",13340,NA,NA,3667,10950,NA,NA,NA,"paint, store paints, ",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,23,"2023-03-29T17:56:03+00:00",36.645102977753,16,"updated stim.csv","Version16.csv","Version 16","List 16","apprentice",NA,466,4.321428571,65,467,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",36512,NA,NA,12103,36200,NA,NA,NA,"have do paperwork, have do experiments, coffee runs, food runs",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,24,"2023-03-29T17:56:27+00:00",24.148204088211,16,"updated stim.csv","Version16.csv","Version 16","List 16","collar",NA,469,5.12,600,470,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",24025,NA,NA,4191,19772,NA,NA,NA,"put on pet, hang it up, attach leashes, ",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,25,"2023-03-29T17:56:40+00:00",12.876256942749,16,"updated stim.csv","Version16.csv","Version 16","List 16","stoop",NA,473,4.5,2548,474,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",12733,NA,NA,2040,11403,NA,NA,NA,"sit on, stand on, squat on",1
"J00715674_hel","pj0ekrx1oa","Affordance Norms_South Alabama",1,26,"2023-03-29T17:57:07+00:00",26.983083963394,16,"updated stim.csv","Version16.csv","Version 16","List 16","nickel",NA,467,5.814814815,1766,468,"BOI","-","-","Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",NA,"y",26853,NA,NA,3405,24960,NA,NA,NA,"use to pay, flip, scratch lotto scratchers, spin",1
