Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,1,2022-11-27T19:10:15+00:00,17.1399538517,48,"updated stim.csv",Version48.csv,"Version 48","List 48",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,17061,,,-1,-1,,,,,1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,2,2022-11-27T19:10:25+00:00,10.403335094452,48,"updated stim.csv",Version48.csv,"Version 48","List 48",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10271,,,-1,-1,,,,,1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,3,2022-11-27T19:10:29+00:00,3.9421319961548,48,"updated stim.csv",Version48.csv,"Version 48","List 48",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3808,,,-1,-1,,,,,1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,4,2022-11-27T19:11:05+00:00,35.686812877655,48,"updated stim.csv",Version48.csv,"Version 48","List 48",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,35464,,,3892,32694,,,,"bread, wheat, granola bar, of salt, of sand, ",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,5,2022-11-27T19:11:58+00:00,53.381219148636,48,"updated stim.csv",Version48.csv,"Version 48","List 48",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,53151,,,4383,51754,,,,"school, work, experiment, study, doctor note, filing, records",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,6,2022-11-27T19:12:05+00:00,6.5492730140686,48,"updated stim.csv",Version48.csv,"Version 48","List 48",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6407,,,4706,5593,,,,cooking,1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,7,2022-11-27T19:12:46+00:00,41.055155992508,48,"updated stim.csv",Version48.csv,"Version 48","List 48",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,40831,,,6418,40204,,,,"chicken spaghetti, alfredo, spaghetti and meatballs, thrown, eaten, played with",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,8,2022-11-27T19:13:41+00:00,54.798624038696,48,"updated stim.csv",Version48.csv,"Version 48","List 48",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,54546,,,53431,53741,,,,idk,1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,9,2022-11-27T19:13:42+00:00,1.4301018714905,48,"updated stim.csv",Version48.csv,"Version 48","List 48",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1298,,,-1,-1,,,,,1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,10,2022-11-27T19:13:52+00:00,10.288873910904,48,"updated stim.csv",Version48.csv,"Version 48","List 48",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,10161,,,-1,-1,,,,,1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,11,2022-11-27T19:14:38+00:00,45.186964988708,48,"updated stim.csv",Version48.csv,"Version 48","List 48",maize,,1419,5.416666667,1579,1420,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,44954,,,29538,31114,,,,corn,1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,12,2022-11-27T19:15:13+00:00,35.493010044098,48,"updated stim.csv",Version48.csv,"Version 48","List 48",chick,,1435,4.47826087,516,1436,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,35267,,,4771,10153,,,,"eggs, chicken",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,13,2022-11-27T19:16:20+00:00,67.42654800415,48,"updated stim.csv",Version48.csv,"Version 48","List 48",graveyard,,1432,4.608695652,1166,1433,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,67198,,,3247,65082,,,,"bury people, ceremony, celebration, ghosts, wake, dig, clean, maintain",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,14,2022-11-27T19:16:29+00:00,8.2840180397034,48,"updated stim.csv",Version48.csv,"Version 48","List 48",neckband,,1416,5.217391304,1739,1417,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8121,,,2797,7205,,,,"on your neck",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,15,2022-11-27T19:17:03+00:00,34.628118038177,48,"updated stim.csv",Version48.csv,"Version 48","List 48",peelings,,1417,4.652173913,1906,1418,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,34399,,,20037,31889,,,,"cooking, sanitizing, scents",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,16,2022-11-27T19:17:25+00:00,21.253937959671,48,"updated stim.csv",Version48.csv,"Version 48","List 48",bloodhound,,1415,4.833333333,242,1416,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21027,,,4261,14037,,,,"hunting, company, companion, security",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,17,2022-11-27T19:17:43+00:00,18.065185070038,48,"updated stim.csv",Version48.csv,"Version 48","List 48",yoga,,1438,4.44,2993,1439,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,17928,,,1919,15893,,,,"health, fun, stretch",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,18,2022-11-27T19:18:25+00:00,41.860667943954,48,"updated stim.csv",Version48.csv,"Version 48","List 48",childbirth,,1433,4.391304348,521,1434,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,41639,,,14040,39448,,,,"bringing life, delivering, celebration, love, work, adoption",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,19,2022-11-27T19:19:23+00:00,58.521925926208,48,"updated stim.csv",Version48.csv,"Version 48","List 48",condom,,1439,6.346153846,622,1440,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,58294,,,5763,36504,,,,"sex, balloon, std blocker, prevent pregnancy, birth control, banana, water balloon",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,20,2022-11-27T19:19:58+00:00,34.976311206818,48,"updated stim.csv",Version48.csv,"Version 48","List 48",land,,1420,5.56,1460,1421,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,34745,,,4571,29368,,,,"build, hunt, purchase, manage, create, live, control, own",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,21,2022-11-27T19:20:15+00:00,17.080188989639,48,"updated stim.csv",Version48.csv,"Version 48","List 48",pegboard,,1434,5.04,1909,1435,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,16950,,,4117,14711,,,,"arts, organization",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,22,2022-11-27T19:20:53+00:00,37.954337835312,48,"updated stim.csv",Version48.csv,"Version 48","List 48",tattoo,,1423,4.730769231,2637,1424,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,37727,,,6561,28243,,,,"art, expression, culture, in memory of, mistake",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,23,2022-11-27T19:21:12+00:00,18.572425127029,48,"updated stim.csv",Version48.csv,"Version 48","List 48",acne,,1425,4.391304348,7,1426,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18438,,,6657,10719,,,,"pop it, pick it",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,24,2022-11-27T19:21:38+00:00,26.621686935425,48,"updated stim.csv",Version48.csv,"Version 48","List 48",latex,,1431,5.086956522,1470,1432,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,26393,,,3072,21764,,,,"condoms, gloves, clothes, balloons, rubber bands",1
J00712344_jir,d3xc5gneaj,"Affordance Norms_South Alabama",1,25,2022-11-27T19:21:53+00:00,14.943067073822,48,"updated stim.csv",Version48.csv,"Version 48","List 48",hut,,1422,5.130434783,1341,1423,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,14807,,,5260,14293,,,,"live, camp, stay",1
