Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,1,2023-02-09T03:42:57+00:00,10.784632921219,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,10478,,,-1,-1,,,,,1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,2,2023-02-09T03:43:08+00:00,11.000243902206,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10461,,,-1,-1,,,,,1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,3,2023-02-09T03:43:11+00:00,3.3354279994965,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,3071,,,-1,-1,,,,,1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,4,2023-02-09T03:43:19+00:00,7.7514891624451,50,"updated stim.csv",Version50.csv,"Version 50","List 50",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7246,,,1836,6995,,,,"fill out, write, turn in",1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,5,2023-02-09T03:43:25+00:00,5.9165880680084,50,"updated stim.csv",Version50.csv,"Version 50","List 50",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5511,,,1810,5323,,,,"eat, grow, cook",1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,6,2023-02-09T03:43:29+00:00,4.5748558044434,50,"updated stim.csv",Version50.csv,"Version 50","List 50",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4261,,,1491,3485,,,,"cook, bake",1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,7,2023-02-09T03:43:37+00:00,7.6202030181885,50,"updated stim.csv",Version50.csv,"Version 50","List 50",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,7424,,,2033,7293,,,,"aliens, transport, abduct",1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,8,2023-02-09T03:43:42+00:00,4.7791440486908,50,"updated stim.csv",Version50.csv,"Version 50","List 50",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,4571,,,1318,4290,,,,"eat, cook, boil",1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,9,2023-02-09T03:43:44+00:00,2.5976440906525,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",2453,,,-1,-1,,,,,1
J00706891_rea,c7aqv3ycrw,"Affordance Norms_South Alabama",1,10,2023-02-09T03:43:47+00:00,2.9248878955841,50,"updated stim.csv",Version50.csv,"Version 50","List 50",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2765,,,-1,-1,,,,,1
