Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,1,2023-04-06T20:45:31+00:00,12.181473016739,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,12115,,,-1,-1,,,,,1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,2,2023-04-06T20:45:42+00:00,10.519282102585,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10432,,,-1,-1,,,,,1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,3,2023-04-06T20:45:47+00:00,4.6862418651581,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4603,,,-1,-1,,,,,1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,4,2023-04-06T20:46:03+00:00,16.939252138138,51,"updated stim.csv",Version51.csv,"Version 51","List 51",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,16799,,,3121,15731,,,,"write, print, fill out, submit",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,5,2023-04-06T20:46:23+00:00,19.007173776627,51,"updated stim.csv",Version51.csv,"Version 51","List 51",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18891,,,9023,17654,,,,"food, harvest, plant, eat",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,6,2023-04-06T20:46:32+00:00,9.2962510585785,51,"updated stim.csv",Version51.csv,"Version 51","List 51",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9211,,,1266,8127,,,,"eat, messy, digest ",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,7,2023-04-06T20:46:51+00:00,19.472177028656,51,"updated stim.csv",Version51.csv,"Version 51","List 51",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,19379,,,5984,18379,,,,"holds, serves, hot, plate, food",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,8,2023-04-06T20:47:13+00:00,21.421519041061,51,"updated stim.csv",Version51.csv,"Version 51","List 51",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,21259,,,9499,16241,,,,"small, cutting, dissecting",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,9,2023-04-06T20:47:14+00:00,1.584676027298,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1500,,,-1,-1,,,,,1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,10,2023-04-06T20:47:16+00:00,1.4928488731384,51,"updated stim.csv",Version51.csv,"Version 51","List 51",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1398,,,-1,-1,,,,,1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,11,2023-04-06T20:47:33+00:00,17.489870071411,51,"updated stim.csv",Version51.csv,"Version 51","List 51",poet,,1518,4.565217391,2017,1519,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,17345,,,7787,15743,,,,"writer, poet, read, speak",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,12,2023-04-06T20:47:45+00:00,11.598630905151,51,"updated stim.csv",Version51.csv,"Version 51","List 51",key,,1527,6.28,1411,1528,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11488,,,1768,10500,,,,"open, lock, forget, dangles",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,13,2023-04-06T20:47:57+00:00,12.068603992462,51,"updated stim.csv",Version51.csv,"Version 51","List 51",onion,,1525,5.476190476,1809,1526,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11968,,,1477,11045,,,,"smell, eat, digest, peel, cook, chop",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,14,2023-04-06T20:48:11+00:00,13.586722135544,51,"updated stim.csv",Version51.csv,"Version 51","List 51",staple,,1515,5.32,2507,1516,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,13500,,,1893,10343,,,,"hurt, together, removal ",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,15,2023-04-06T20:50:21+00:00,130.32529997826,51,"updated stim.csv",Version51.csv,"Version 51","List 51",policeman,,1511,5.428571429,2022,1512,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,130185,,,109750,129998,,,,"chase, arrest, drive, run, serve",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,16,2023-04-06T20:50:28+00:00,6.6673109531403,51,"updated stim.csv",Version51.csv,"Version 51","List 51",wheelbarrow,,1528,5.5,2922,1529,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6557,,,1533,5753,,,,"push, carry, hold",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,17,2023-04-06T20:50:34+00:00,6.4166090488434,51,"updated stim.csv",Version51.csv,"Version 51","List 51",infant,,1512,6.038461538,1353,1513,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6312,,,1551,5938,,,,"cry, sweet, eat, poop",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,18,2023-04-06T20:50:49+00:00,15.181056022644,51,"updated stim.csv",Version51.csv,"Version 51","List 51",blackboard,,1506,5.392857143,228,1507,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,15047,,,1581,14663,,,,"write, erase, dry, chalk",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,19,2023-04-06T20:51:01+00:00,12.079123020172,51,"updated stim.csv",Version51.csv,"Version 51","List 51",xylophone,,1503,5.821428571,2986,1504,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11976,,,8863,11644,,,,"play, listen",1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,20,2023-04-06T20:51:04+00:00,3.2548730373383,51,"updated stim.csv",Version51.csv,"Version 51","List 51",sapphire,,1529,5.125,2241,1530,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,3146,,,1802,2361,,,,wear,1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,21,2023-04-06T20:51:10+00:00,5.9607558250427,51,"updated stim.csv",Version51.csv,"Version 51","List 51",urinal,,1514,5.666666667,2828,1515,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5868,,,3554,3958,,,,pee,1
J00711090_LTS,qqydx5ualg,"Affordance Norms_South Alabama",1,22,2023-04-06T20:51:16+00:00,5.6992971897125,51,"updated stim.csv",Version51.csv,"Version 51","List 51",chili,,1519,5.291666667,523,1520,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5608,,,1364,4915,,,,"eat, digest, make",1
