Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,1,2022-11-30T17:07:20+00:00,13.460259914398,17,"updated stim.csv",Version67.csv,"Version 67","List 67",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,13299,,,-1,-1,,,,,1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,2,2022-11-30T17:07:41+00:00,20.721455097198,17,"updated stim.csv",Version67.csv,"Version 67","List 67",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,20446,,,-1,-1,,,,,1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,3,2022-11-30T17:07:46+00:00,4.9216470718384,17,"updated stim.csv",Version67.csv,"Version 67","List 67",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4764,,,-1,-1,,,,,1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,4,2022-11-30T17:08:16+00:00,29.85741686821,17,"updated stim.csv",Version67.csv,"Version 67","List 67",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,29481,,,8332,28232,,,,"made, cooked, eaten, burned, thrown away",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,5,2022-11-30T17:08:40+00:00,24.493153095245,17,"updated stim.csv",Version67.csv,"Version 67","List 67",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24223,,,3621,23853,,,,"tossed, mixed, kneeded",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,6,2022-11-30T17:08:51+00:00,10.265570878983,17,"updated stim.csv",Version67.csv,"Version 67","List 67",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,10100,,,5155,9151,,,,"added, mixed, cooked",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,7,2022-11-30T17:09:19+00:00,28.675065994263,17,"updated stim.csv",Version67.csv,"Version 67","List 67",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,28373,,,6266,25637,,,,"given, tossed, thrown, placed, flying",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,8,2022-11-30T17:10:15+00:00,55.914262056351,17,"updated stim.csv",Version67.csv,"Version 67","List 67",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,55650,,,3943,54827,,,,"handled, signed, thrown away, disposed, shredded, filed, held ",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,9,2022-11-30T17:10:17+00:00,1.6701240539551,17,"updated stim.csv",Version67.csv,"Version 67","List 67",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1520,,,-1,-1,,,,,1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,10,2022-11-30T17:10:19+00:00,2.2662899494171,17,"updated stim.csv",Version67.csv,"Version 67","List 67",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2082,,,-1,-1,,,,,1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,11,2022-11-30T17:10:47+00:00,28.102710962296,17,"updated stim.csv",Version67.csv,"Version 67","List 67",suds,,1986,4.652173913,2578,1987,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,27911,,,4633,26131,,,,"wiped, scrubbed, washed",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,12,2022-11-30T17:11:30+00:00,42.382230997086,17,"updated stim.csv",Version67.csv,"Version 67","List 67",hairdo,,1983,5.08,1211,1984,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,42189,,,9964,40802,,,,"curl, straightened, crinkled, colored, cut, braided, slicked",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,13,2022-11-30T17:12:37+00:00,67.45064997673,17,"updated stim.csv",Version67.csv,"Version 67","List 67",shoulder,,1998,5.869565217,2362,1999,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,67106,,,19170,64722,,,,"throw, shrug, hump",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,14,2022-11-30T17:14:04+00:00,87.269690990448,17,"updated stim.csv",Version67.csv,"Version 67","List 67",female,,1994,5.689655172,960,1995,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,86932,,,4820,86423,,,,"kiss, pick up, respect, impregnate, hug, disrespect",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,15,2022-11-30T17:14:09+00:00,4.4122681617737,17,"updated stim.csv",Version67.csv,"Version 67","List 67",grater,,2006,4.92,1162,2007,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,4249,,,2953,3648,,,,grate,1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,16,2022-11-30T17:14:39+00:00,30.331555843353,17,"updated stim.csv",Version67.csv,"Version 67","List 67",volleyball,,2003,6.52,2873,2004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,30104,,,1463,29154,,,,"toss, bounce, step on, throw, hit, grab, spike, hold, roll",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,17,2022-11-30T17:14:50+00:00,11.112171173096,17,"updated stim.csv",Version67.csv,"Version 67","List 67",cauldron,,1982,4.8,465,1983,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,10893,,,1531,7480,,,,"stir, mix, cook,",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,18,2022-11-30T17:15:38+00:00,47.804480791092,17,"updated stim.csv",Version67.csv,"Version 67","List 67",magnolia,,1991,5.416666667,1573,1992,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,47620,,,5187,14112,,,,"plant, paint, color, grow,",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,19,2022-11-30T17:16:20+00:00,42.136272192001,17,"updated stim.csv",Version67.csv,"Version 67","List 67",nightclub,,1988,4.409090909,1768,1989,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,41927,,,7697,41039,,,,"open, own, close, dance in, drink in, eat in, meet people in,",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,20,2022-11-30T17:16:39+00:00,18.649271965027,17,"updated stim.csv",Version67.csv,"Version 67","List 67",editor,,1993,4.5,889,1994,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,18389,,,3208,14958,,,,"meet, become, trust, ",1
w10120216_jwwj,emoo5p1inl,"BOI Norms",1,21,2022-11-30T17:18:12+00:00,93.703256845474,17,"updated stim.csv",Version67.csv,"Version 67","List 67",spacesuit,,1989,4.814814815,2459,1990,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,93349,,,2073,3845,,,,"wear, ",1
