Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w992701_mem,y4jollv6db,"BOI Norms",1,1,2020-11-20T13:19:09-08:00,11.33337688446,10,"updated stim.csv",Version60.csv,"Version 60","List 60",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11129,,,-1,-1,,,,,1
w992701_mem,y4jollv6db,"BOI Norms",1,2,2020-11-20T13:19:21-08:00,11.224822044373,10,"updated stim.csv",Version60.csv,"Version 60","List 60",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,10968,,,-1,-1,,,,,1
w992701_mem,y4jollv6db,"BOI Norms",1,3,2020-11-20T13:19:25-08:00,4.5128290653229,10,"updated stim.csv",Version60.csv,"Version 60","List 60",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4313,,,-1,-1,,,,,1
w992701_mem,y4jollv6db,"BOI Norms",1,4,2020-11-20T13:19:50-08:00,24.781680822372,10,"updated stim.csv",Version60.csv,"Version 60","List 60",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,24570,,,1961,19129,,,,"file, sort, organize, sign, print, copy, ",1
w992701_mem,y4jollv6db,"BOI Norms",1,5,2020-11-20T13:20:13-08:00,23.003126144409,10,"updated stim.csv",Version60.csv,"Version 60","List 60",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,22705,,,4589,10701,,,,"bake, sort, sift, eat, ",1
w992701_mem,y4jollv6db,"BOI Norms",1,6,2020-11-20T13:20:32-08:00,18.747086048126,10,"updated stim.csv",Version60.csv,"Version 60","List 60",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,18519,,,2734,17200,,,,"baking, eating, cooking, ",1
w992701_mem,y4jollv6db,"BOI Norms",1,7,2020-11-20T13:21:01-08:00,29.260173797607,10,"updated stim.csv",Version60.csv,"Version 60","List 60",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,28971,,,1118,28121,,,,"eating, serving, displaying",1
w992701_mem,y4jollv6db,"BOI Norms",1,8,2020-11-20T13:21:13-08:00,12.527608156204,10,"updated stim.csv",Version60.csv,"Version 60","List 60",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12141,,,10583,11173,,,,eating,1
w992701_mem,y4jollv6db,"BOI Norms",1,9,2020-11-20T13:21:16-08:00,2.1204309463501,10,"updated stim.csv",Version60.csv,"Version 60","List 60",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1770,,,-1,-1,,,,,1
w992701_mem,y4jollv6db,"BOI Norms",1,10,2020-11-20T13:21:18-08:00,2.5669178962708,10,"updated stim.csv",Version60.csv,"Version 60","List 60",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2355,,,-1,-1,,,,,1
w992701_mem,y4jollv6db,"BOI Norms",1,11,2020-11-20T13:21:48-08:00,29.964281082153,10,"updated stim.csv",Version60.csv,"Version 60","List 60",sharpener,,1800,4.785714286,2323,1801,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,29751,,,9281,28491,,,,"for pencil, to cut, to open, to file down",1
w992701_mem,y4jollv6db,"BOI Norms",1,12,2020-11-20T13:22:16-08:00,28.031759977341,10,"updated stim.csv",Version60.csv,"Version 60","List 60",sundae,,1778,5.96,2585,1779,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,27599,,,1321,24829,,,,"to eat, to display, to smell, to make",1
w992701_mem,y4jollv6db,"BOI Norms",1,13,2020-11-20T13:22:50-08:00,33.660104990005,10,"updated stim.csv",Version60.csv,"Version 60","List 60",souffle,,1797,5.571428571,2453,1798,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,33248,,,2378,20251,,,,"eat, bake, cook, mix, ",1
