Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w10016580_ads,gaawgityn8,"BOI Norms",1,1,2022-01-31T23:58:42+00:00,25.774555921555,16,"updated stim.csv",Version66.csv,"Version 66","List 66",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,25443,,,-1,-1,,,,,1
w10016580_ads,gaawgityn8,"BOI Norms",1,2,2022-01-31T23:58:53+00:00,11.768625020981,16,"updated stim.csv",Version66.csv,"Version 66","List 66",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,11556,,,-1,-1,,,,,1
w10016580_ads,gaawgityn8,"BOI Norms",1,3,2022-01-31T23:58:58+00:00,4.686742067337,16,"updated stim.csv",Version66.csv,"Version 66","List 66",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,4474,,,-1,-1,,,,,1
w10016580_ads,gaawgityn8,"BOI Norms",1,4,2022-01-31T23:59:11+00:00,13.144587039948,16,"updated stim.csv",Version66.csv,"Version 66","List 66","Picture Frame",,Practice,,3002,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,12956,,,8353,11643,,,,"display photos",1
w10016580_ads,gaawgityn8,"BOI Norms",1,5,2022-01-31T23:59:21+00:00,10.16567492485,16,"updated stim.csv",Version66.csv,"Version 66","List 66",Donut,,Practice,,3003,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,9960,,,2098,8637,,,,"eaten, given, prop",1
w10016580_ads,gaawgityn8,"BOI Norms",1,6,2022-01-31T23:59:28+00:00,6.959774017334,16,"updated stim.csv",Version66.csv,"Version 66","List 66",Cheeseburger,,Practice,,3001,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6759,,,1389,4913,,,,"eaten, shared, prop",1
w10016580_ads,gaawgityn8,"BOI Norms",1,7,2022-01-31T23:59:34+00:00,5.8894689083099,16,"updated stim.csv",Version66.csv,"Version 66","List 66",Swan,,Practice,,3004,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5713,,,4287,4531,,,,pet,1
w10016580_ads,gaawgityn8,"BOI Norms",1,8,2022-01-31T23:59:41+00:00,6.5129170417786,16,"updated stim.csv",Version66.csv,"Version 66","List 66",Taco,,Practice,,3005,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,6308,,,1232,5788,,,,"eaten, shared, prop",1
w10016580_ads,gaawgityn8,"BOI Norms",1,9,2022-01-31T23:59:45+00:00,4.4805469512939,16,"updated stim.csv",Version66.csv,"Version 66","List 66",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",4302,,,-1,-1,,,,,1
w10016580_ads,gaawgityn8,"BOI Norms",1,10,2022-01-31T23:59:48+00:00,2.6153631210327,16,"updated stim.csv",Version66.csv,"Version 66","List 66",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2451,,,-1,-1,,,,,1
w10016580_ads,gaawgityn8,"BOI Norms",1,11,2022-01-31T23:59:54+00:00,6.62517786026,16,"updated stim.csv",Version66.csv,"Version 66","List 66",container,,ON,5.461538462,628,1971,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,6451,,,1545,4115,,,,storage,1
w10016580_ads,gaawgityn8,"BOI Norms",1,12,2022-02-01T00:00:01+00:00,6.15767121315,16,"updated stim.csv",Version66.csv,"Version 66","List 66",vitamin,,ON,5.2,2869,1952,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5981,,,4470,5662,,,,eaten,1
w10016580_ads,gaawgityn8,"BOI Norms",1,13,2022-02-01T00:00:09+00:00,8.7360777854919,16,"updated stim.csv",Version66.csv,"Version 66","List 66",cashmere,,ON,4.875,450,1973,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,8539,,,3816,7694,,,,"clothing, blanket",1
w10016580_ads,gaawgityn8,"BOI Norms",1,14,2022-02-01T00:00:19+00:00,9.270761013031,16,"updated stim.csv",Version66.csv,"Version 66","List 66",bandage,,ON,6.304347826,138,1978,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,9062,,,2040,8610,,,,"cover wound, stop bleeding",1
w10016580_ads,gaawgityn8,"BOI Norms",1,15,2022-02-01T00:00:31+00:00,12.627513170242,16,"updated stim.csv",Version66.csv,"Version 66","List 66",rainwater,,ON,5.407407407,2133,1957,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,12438,,,3464,11495,,,,"water crops, boiled for clean drinking water",1
w10016580_ads,gaawgityn8,"BOI Norms",1,16,2022-02-01T00:00:37+00:00,5.3580949306488,16,"updated stim.csv",Version66.csv,"Version 66","List 66",tobacco,,ON,5.666666667,2712,1968,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,5170,,,3345,4784,,,,kill,1
