Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
w1004752_kbc,oczz4tuz53,"BOI Norms",1,1,2020-11-17T23:26:59-08:00,11.47253203392,11,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11244,,,-1,-1,,,,,1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,2,2020-11-17T23:27:12-08:00,12.556330919266,11,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,12268,,,-1,-1,,,,,1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,3,2020-11-17T23:27:14-08:00,2.3125331401825,11,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,2033,,,-1,-1,,,,,1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,4,2020-11-17T23:27:34-08:00,20.513334989548,11,"updated stim.csv",Version36.csv,"Version 36","List 36",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,20164,,,5669,18565,,,,"cooked, baked, boiled, incorporated",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,5,2020-11-17T23:27:49-08:00,14.170242786407,11,"updated stim.csv",Version36.csv,"Version 36","List 36",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,13537,,,4415,12589,,,,"used as a bowl, a plate, hold a cup",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,6,2020-11-17T23:28:29-08:00,40.193463087082,11,"updated stim.csv",Version36.csv,"Version 36","List 36",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,39853,,,7409,36290,,,,"written, printed, typed up, filled out, filed",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,7,2020-11-17T23:29:19-08:00,50.437032938004,11,"updated stim.csv",Version36.csv,"Version 36","List 36",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,50083,,,1819,48115,,,,"eaten, boiled, cut, split, light a candle, stirred, strained, drained, boiled, sauted",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,8,2020-11-17T23:29:36-08:00,17.203960180283,11,"updated stim.csv",Version36.csv,"Version 36","List 36",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,16626,,,2629,15745,,,,"melted, mixed, refrigerated, baked into, cooking in",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,9,2020-11-17T23:29:38-08:00,1.7180278301239,11,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1267,,,-1,-1,,,,,1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,10,2020-11-17T23:29:41-08:00,2.8419389724731,11,"updated stim.csv",Version36.csv,"Version 36","List 36",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,2580,,,-1,-1,,,,,1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,11,2020-11-17T23:30:06-08:00,25.008758068085,11,"updated stim.csv",Version36.csv,"Version 36","List 36",laxative,,1052,5.206896552,1476,1053,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,24723,,,1792,22601,,,,"taken, abused, feed an eating disorder",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,12,2020-11-17T23:30:30-08:00,24.147990942001,11,"updated stim.csv",Version36.csv,"Version 36","List 36",mentor,,1053,4.347826087,1645,1054,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,23869,,,9651,15888,,,,"contacted, spoken to, met with",0.95
w1004752_kbc,oczz4tuz53,"BOI Norms",1,13,2020-11-17T23:30:53-08:00,22.612935066223,11,"updated stim.csv",Version36.csv,"Version 36","List 36",houseboat,,1071,4.956521739,1327,1072,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,20194,,,3059,18405,,,,"lived in, sunk, vacationed, float",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,14,2020-11-17T23:31:33-08:00,40.595647096634,11,"updated stim.csv",Version36.csv,"Version 36","List 36",lambskin,,1055,4.416666667,1454,1056,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,40312,,,2133,39635,,,,"worn, thrown away, turned into a coat, utilized",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,15,2020-11-17T23:31:50-08:00,16.528960943222,11,"updated stim.csv",Version36.csv,"Version 36","List 36",leftovers,,1070,5.625,1485,1071,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,16205,,,1871,11808,,,,"heated up, stored, refrigerated, thrown away",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,16,2020-11-17T23:32:14-08:00,24.158308982849,11,"updated stim.csv",Version36.csv,"Version 36","List 36",engine,,1065,5.333333333,908,1066,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,23816,,,1481,21507,,,,"turned over, used in a car",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,17,2020-11-17T23:32:36-08:00,22.110789060593,11,"updated stim.csv",Version36.csv,"Version 36","List 36",saltshaker,,1058,6,2228,1059,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,21808,,,3219,19223,,,,"knocked over, use to actually season, filled up",1
w1004752_kbc,oczz4tuz53,"BOI Norms",1,18,2020-11-17T23:32:48-08:00,12.352344989777,11,"updated stim.csv",Version36.csv,"Version 36","List 36",ornament,,1062,6.181818182,1823,1063,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,y,11706,,,1574,9231,,,,"hung, decorated, created",1
