Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Stimuli*Value,Procedure*Item,"Procedure*Trial Type","Procedure*Max Time","Procedure*Min Time",Procedure*Text,"Procedure*Procedure Notes",Procedure*Shuffle,Response*RT,Response*Response,Response*Accuracy,Response*RTfirst,Response*RTlast,Response*strictAcc,Response*lenientAcc,Response*focus,Response*JOL,Response*Focus
984273RS,4srnpuommo,"BOI Norms",1,1,2021-07-19T13:20:31-07:00,11.915888786316,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,0,Instruct,-,10,"In this section, you will be presented with a series of objects. Please name as many possible uses for this object as you can think of by typing them in the box below each object.",,Instruct1,11343,,,-1,-1,,,,,0.654
984273RS,4srnpuommo,"BOI Norms",1,2,2021-07-19T13:20:46-07:00,15.086854219437,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,0,Instruct,-,10,"Please keep in mind that a single object will have more than one use. For example, a ball can be thrown or can be bounced or even stepped on. When listing multiple uses for one object, please separate each use with a comma (i.e., thrown, bounced, stepped on)",,Instruct2,14218,,,-1,-1,,,,,1
984273RS,4srnpuommo,"BOI Norms",1,3,2021-07-19T13:21:03-07:00,16.850572824478,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,0,Instruct,-,-,"Before starting the experiment, you will complete a short practice sesstion. Press ENTER when you are ready to begin.",,Instruct3,16623,,,-1,-1,,,,,1
984273RS,4srnpuommo,"BOI Norms",1,4,2021-07-19T13:21:17-07:00,14.552155017853,1,"updated stim.csv",Version1.csv,"Version 1","List 1",grain,,3004,5.217391304,1143,3005,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,14286,,,4306,12942,,,,"eat, cook, clean, grind",1
984273RS,4srnpuommo,"BOI Norms",1,5,2021-07-19T13:21:37-07:00,19.653661966324,1,"updated stim.csv",Version1.csv,"Version 1","List 1",paperwork,,3001,5.625,1866,3002,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,19406,,,2576,18254,,,,"file, write, proof, work, class, job, doctor, medical, law",1
984273RS,4srnpuommo,"BOI Norms",1,6,2021-07-19T13:21:49-07:00,11.57014799118,1,"updated stim.csv",Version1.csv,"Version 1","List 1",saucer,,3005,5.777777778,2249,3006,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,11311,,,1953,9072,,,,"eat, hold, break, wash",1
984273RS,4srnpuommo,"BOI Norms",1,7,2021-07-19T13:21:58-07:00,9.2639491558075,1,"updated stim.csv",Version1.csv,"Version 1","List 1",spaghetti,,3003,6,2461,3004,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,8911,,,1215,7200,,,,"eat, cook, give, provide, freeze",1
984273RS,4srnpuommo,"BOI Norms",1,8,2021-07-19T13:22:04-07:00,6.0036950111389,1,"updated stim.csv",Version1.csv,"Version 1","List 1",shortening,,3002,4.92,2358,3003,BOI,-,-,"Please name all of the ways you could use this object. Keep in mind that one object can have many uses. Separate your responses with a comma.",,n,5738,,,2740,4403,,,,cook,1
984273RS,4srnpuommo,"BOI Norms",1,9,2021-07-19T13:22:05-07:00,1.4886448383331,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,0,Instruct,-,-,"You have completed this section. Press ENTER to continue",,"Instruct 5",1227,,,-1,-1,,,,,1
984273RS,4srnpuommo,"BOI Norms",1,10,2021-07-19T13:22:07-07:00,1.6355900764465,1,"updated stim.csv",Version1.csv,"Version 1","List 1",,,,,,0,Instruct,-,-,"You will now start the full experiment. Press ENTER when you are ready to begin.",,,1407,,,-1,-1,,,,,1
