Username,Stimuli.Cue,affordance_parsed,word,lemma,POS,Group
AllieBorcherts,lifeboat,save life,save,save,VERB,Clemson
AllieBorcherts,lifeboat,save life,life,life,NOUN,Clemson
AllieBorcherts,lifeboat,sailing,sailing,sail,VERB,Clemson
AllieBorcherts,lifeboat,fishing,fishing,fish,VERB,Clemson
AllieBorcherts,refrigerator,keep food cold,keep,keep,VERB,Clemson
AllieBorcherts,refrigerator,keep food cold,food,food,NOUN,Clemson
AllieBorcherts,refrigerator,keep food cold,cold,cold,ADJ,Clemson
AllieBorcherts,refrigerator,keep body cold if a/c is out,keep,keep,VERB,Clemson
AllieBorcherts,refrigerator,keep body cold if a/c is out,body,body,NOUN,Clemson
AllieBorcherts,refrigerator,keep body cold if a/c is out,cold,cold,ADJ,Clemson
AllieBorcherts,refrigerator,keep body cold if a/c is out,c,class,NOUN,Clemson
AllieBorcherts,refrigerator,thaw meat,thaw,thaw,VERB,Clemson
AllieBorcherts,refrigerator,thaw meat,meat,meat,NOUN,Clemson
AllieBorcherts,refrigerator,chill drinks,chill,chill,VERB,Clemson
AllieBorcherts,refrigerator,chill drinks,drinks,drink,VERB,Clemson
AllieBorcherts,teapot,hold tea,hold,hold,VERB,Clemson
AllieBorcherts,teapot,hold tea,tea,tea,VERB,Clemson
AllieBorcherts,teapot,make tea,make,make,VERB,Clemson
AllieBorcherts,teapot,make tea,tea,tea,VERB,Clemson
AllieBorcherts,teapot,decoration,decoration,decorate,VERB,Clemson
AllieBorcherts,apartment,gives shelter,gives,give,VERB,Clemson
AllieBorcherts,apartment,gives shelter,shelter,shelter,VERB,Clemson
AllieBorcherts,apartment,place to cook,place,place,NOUN,Clemson
AllieBorcherts,apartment,place to cook,cook,cake,VERB,Clemson
AllieBorcherts,apartment,place to sleep,place,place,NOUN,Clemson
AllieBorcherts,apartment,place to sleep,sleep,sleep,VERB,Clemson
AllieBorcherts,apartment,privacy,privacy,privacy,NOUN,Clemson
AllieBorcherts,slut,sexual activity,sex,sex,VERB,Clemson
AllieBorcherts,slut,gossip,gossip,gossip,VERB,Clemson
AllieBorcherts,newlyweds,happiness,happiness,happiness,NOUN,Clemson
AllieBorcherts,newlyweds,free things,free,free,ADJ,Clemson
AllieBorcherts,newlyweds,free things,things,thing,NOUN,Clemson
AllieBorcherts,claw,scratch,scratch,scratch,VERB,Clemson
AllieBorcherts,claw,threaten,threaten,threaten,VERB,Clemson
AllieBorcherts,claw,grab something,grab,grab,VERB,Clemson
AllieBorcherts,claw,grab something,something,something,PRON,Clemson
AllieBorcherts,claw,poke something,poke,poke,VERB,Clemson
AllieBorcherts,claw,poke something,something,something,PRON,Clemson
AllieBorcherts,flounder,eat,eat,eat,VERB,Clemson
AllieBorcherts,flounder,catch,catch,catch,VERB,Clemson
AllieBorcherts,flounder,look at,look,look,VERB,Clemson
AllieBorcherts,newsstand,buying news and magazines,buying,buy,VERB,Clemson
AllieBorcherts,newsstand,buying news and magazines,news,news,NOUN,Clemson
AllieBorcherts,newsstand,buying news and magazines,magazines,magazine,NOUN,Clemson
AllieBorcherts,newsstand,gossip,gossip,gossip,VERB,Clemson
AllieBorcherts,newsstand,dropping breaking news,dropping,drop,NOUN,Clemson
AllieBorcherts,newsstand,dropping breaking news,breaking,break,NOUN,Clemson
AllieBorcherts,newsstand,dropping breaking news,news,news,NOUN,Clemson
AllieBorcherts,rod,hanging things,hanging,hang,VERB,Clemson
AllieBorcherts,rod,hanging things,things,thing,NOUN,Clemson
AllieBorcherts,rod,separate things,separate,separate,VERB,Clemson
AllieBorcherts,rod,separate things,things,thing,NOUN,Clemson
AllieBorcherts,rod,drying things,drying,dry,NOUN,Clemson
AllieBorcherts,rod,drying things,things,thing,NOUN,Clemson
AllieBorcherts,parachutist,jump out of planes,jump,jump,VERB,Clemson
AllieBorcherts,parachutist,jump out of planes,planes,plane,NOUN,Clemson
AllieBorcherts,corridor,walking through,walking,walk,VERB,Clemson
AllieBorcherts,corridor,connector,connector,connect,VERB,Clemson
AllieBorcherts,corridor,place to decorate,place,place,NOUN,Clemson
AllieBorcherts,corridor,place to decorate,decorate,decorate,VERB,Clemson
AllieBorcherts,sibling,fun,fun,fun,VERB,Clemson
AllieBorcherts,sibling,built-in playmate,built,build,VERB,Clemson
AllieBorcherts,sibling,built-in playmate,playmate,playmate,NOUN,Clemson
AllieBorcherts,sibling,emotional support,emotional,emotional,ADJ,Clemson
AllieBorcherts,sibling,emotional support,support,support,VERB,Clemson
AllieBorcherts,investigator,solve things,solve,solve,VERB,Clemson
AllieBorcherts,investigator,solve things,things,thing,NOUN,Clemson
AllieBorcherts,investigator,inform people on findings,inform,inform,VERB,Clemson
AllieBorcherts,investigator,inform people on findings,people,people,NOUN,Clemson
AllieBorcherts,investigator,inform people on findings,findings,find,VERB,Clemson
AllieBorcherts,investigator,used to find details,used,use,VERB,Clemson
AllieBorcherts,investigator,used to find details,find,find,VERB,Clemson
AllieBorcherts,investigator,used to find details,details,detail,VERB,Clemson
AllieBorcherts,grandma,cookies,cookies,cookie,NOUN,Clemson
AllieBorcherts,grandma,cute gifts,cute,cute,ADJ,Clemson
AllieBorcherts,grandma,cute gifts,gifts,gift,NOUN,Clemson
AllieBorcherts,grandma,love,love,love,NOUN,Clemson
AllieBorcherts,cap,sun protection,sun,sun,NOUN,Clemson
AllieBorcherts,cap,sun protection,protection,protect,VERB,Clemson
AllieBorcherts,cap,warm,warm,warm,VERB,Clemson
AllieBorcherts,cap,bad hair day prevention,bad,bad,ADJ,Clemson
AllieBorcherts,cap,bad hair day prevention,hair,hair,NOUN,Clemson
AllieBorcherts,cap,bad hair day prevention,day,day,NOUN,Clemson
AllieBorcherts,cap,bad hair day prevention,prevention,prevent,VERB,Clemson
AllieBorcherts,thermometer,check for fever,check,check,VERB,Clemson
AllieBorcherts,thermometer,check for fever,fever,fever,NOUN,Clemson
AllieBorcherts,thermometer,check temperature outside,check,check,VERB,Clemson
AllieBorcherts,thermometer,check temperature outside,temperature,temperature,NOUN,Clemson
AllieBorcherts,thermometer,check temperature outside,outside,outside,ADV,Clemson
AllieBorcherts,thermometer,see if food is cooked enough,see,see,VERB,Clemson
AllieBorcherts,thermometer,see if food is cooked enough,food,food,NOUN,Clemson
AllieBorcherts,thermometer,see if food is cooked enough,cooked,cook,VERB,Clemson
AllieBorcherts,thermometer,see if food is cooked enough,enough,enough,ADV,Clemson
AllieBorcherts,burger,food,food,food,NOUN,Clemson
AllieBorcherts,burger,thing to cook,thing,thing,NOUN,Clemson
AllieBorcherts,burger,thing to cook,cook,cake,VERB,Clemson
AllieBorcherts,oceanographer,study ocean animals,study,study,VERB,Clemson
AllieBorcherts,oceanographer,study ocean animals,ocean,ocean,NOUN,Clemson
AllieBorcherts,oceanographer,study ocean animals,animals,animal,NOUN,Clemson
AllieBorcherts,oceanographer,study ocean nature,study,study,VERB,Clemson
AllieBorcherts,oceanographer,study ocean nature,ocean,ocean,NOUN,Clemson
AllieBorcherts,oceanographer,study ocean nature,nature,nature,NOUN,Clemson
AllieBorcherts,oceanographer,predict things that may happen in ocean,predict,predict,VERB,Clemson
AllieBorcherts,oceanographer,predict things that may happen in ocean,things,thing,NOUN,Clemson
